[ 2025-02-12 12:52:57,182 ] 74 dagshub.auth.tokens - INFO - Removed expired tokens from the token cache
[ 2025-02-12 12:53:22,950 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-02-12 12:53:23,251 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-02-12 12:53:23,526 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-02-12 12:53:23,532 ] 107 dagshub - INFO - Accessing as Nasr201
[ 2025-02-12 12:53:23,873 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Nasr201/Network-Security-Project-For-Phising-Data "HTTP/1.1 200 OK"
[ 2025-02-12 12:53:24,158 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-02-12 12:53:24,166 ] 107 dagshub - INFO - Initialized MLflow to track repo "Nasr201/Network-Security-Project-For-Phising-Data"
[ 2025-02-12 12:53:24,167 ] 107 dagshub - INFO - Repository Nasr201/Network-Security-Project-For-Phising-Data initialized!
[ 2025-02-12 12:53:24,167 ] 20 root - INFO - Initiate the data ingestion
